Ekin,Eterm,Epot,Eint,E,T,P,r1,r2,r12_abs,U12,F12,F1,Step
2616.0813997,1355.7163997,-0.63805639,1355.07834331,2615.44334331,327.31390894,56.42045689,,,0.50695585,-0.63805639,-6.41252872,,149
2616.05539603,1355.69039603,-0.60624152,1355.08415451,2615.44915451,327.30763081,56.42189355,,,0.51110437,-0.60624152,-6.12380171,,150
2616.03056651,1355.66556651,-0.57618067,1355.08938584,2615.45438584,327.30163616,56.42330546,,,0.51525286,-0.57618067,-5.84658735,,151
2616.00686356,1355.64186356,-0.54776466,1355.09409889,2615.45909889,327.29591349,56.42468877,,,0.51940132,-0.54776466,-5.58078285,,152
2615.98424017,1355.61924017,-0.52089185,1355.09834832,2615.46334832,327.29045147,56.42604047,,,0.52354973,-0.52089185,-5.32621372,,153
2615.96265018,1355.59765018,-0.49546748,1355.10218271,2615.46718271,327.28523895,56.42735825,,,0.52769812,-0.49546748,-5.08264937,,154
2615.9420485,1355.5770485,-0.47140325,1355.10564525,2615.47064525,327.28026504,56.42864041,,,0.53184647,-0.47140325,-4.84981606,,155
2615.92239122,1355.55739122,-0.44861682,1355.10877441,2615.47377441,327.27551913,56.42988575,,,0.53599479,-0.44861682,-4.62740762,,156
2615.90363575,1355.53863575,-0.42703136,1355.1116044,2615.4766044,327.27099095,56.43109352,,,0.54014308,-0.42703136,-4.41509436,,157
2615.88574092,1355.52074092,-0.40657519,1355.11416574,2615.47916574,327.26667056,56.43226329,,,0.54429134,-0.40657519,-4.2125304,,158
2615.86866701,1355.50366701,-0.38718137,1355.11648564,2615.48148564,327.26254836,56.43339496,,,0.54843958,-0.38718137,-4.01935968,,159
2615.85237578,1355.48737578,-0.36878739,1355.11858839,2615.48358839,327.25861513,56.43448865,,,0.55258779,-0.36878739,-3.83522088,,160
2615.83683051,1355.47183051,-0.3513348,1355.1204957,2615.4854957,327.254862,56.4355447,,,0.55673598,-0.3513348,-3.65975137,,161
2615.82199596,1355.45699596,-0.334769,1355.12222696,2615.48722696,327.25128046,56.43656361,,,0.56088414,-0.334769,-3.49259049,,162
2615.80783841,1355.44283841,-0.31903889,1355.12379952,2615.48879952,327.24786237,56.43754601,,,0.56503228,-0.31903889,-3.33338208,,163
2615.79432558,1355.42932558,-0.30409666,1355.12522892,2615.49022892,327.24459993,56.43849263,,,0.5691804,-0.30409666,-3.18177652,,164
2615.78142663,1355.41642663,-0.28989754,1355.12652909,2615.49152909,327.24148571,56.43940431,,,0.5733285,-0.28989754,-3.03743228,,165
2615.76911212,1355.40411212,-0.27639962,1355.1277125,2615.4927125,327.23851259,56.44028192,,,0.57747658,-0.27639962,-2.90001715,,166
2615.75735397,1355.39235397,-0.2635636,1355.12879037,2615.49379037,327.23567379,56.44112641,,,0.58162465,-0.2635636,-2.76920913,,167
2615.74612541,1355.38112541,-0.25135266,1355.12977275,2615.49477275,327.23296285,56.44193874,,,0.58577269,-0.25135266,-2.64469703,,168
2615.73540093,1355.37040093,-0.23973226,1355.13066867,2615.49566867,327.23037361,56.4427199,,,0.58992072,-0.23973226,-2.52618089,,169
2615.72515627,1355.36015627,-0.22866998,1355.13148629,2615.49648629,327.22790022,56.44347091,,,0.59406873,-0.22866998,-2.41337225,,170
2615.71536831,1355.35036831,-0.21813541,1355.1322329,2615.4972329,327.22553709,56.44419276,,,0.59821673,-0.21813541,-2.30599423,,171
2615.70601508,1355.34101508,-0.20809997,1355.13291511,2615.49791511,327.22327891,56.44488646,,,0.60236471,-0.20809997,-2.20378152,,172
2615.69707566,1355.33207566,-0.19853682,1355.13353884,2615.49853884,327.22112065,56.44555301,,,0.60651268,-0.19853682,-2.10648026,,173
2615.6885302,1355.3235302,-0.18942072,1355.13410947,2615.49910947,327.2190575,56.44619339,,,0.61066063,-0.18942072,-2.01384788,,174
2615.68035979,1355.31535979,-0.18072796,1355.13463183,2615.49963183,327.21708489,56.44680858,,,0.61480857,-0.18072796,-1.92565284,,175
2615.67254648,1355.30754648,-0.17243621,1355.13511027,2615.50011027,327.21519851,56.44739951,,,0.6189565,-0.17243621,-1.84167434,,176
2615.66507323,1355.30007323,-0.16452447,1355.13554876,2615.50054876,327.21339422,56.44796713,,,0.62310442,-0.16452447,-1.76170205,,177
2615.65792382,1355.29292382,-0.15697296,1355.13595086,2615.50095086,327.21166812,56.44851232,,,0.62725233,-0.15697296,-1.6855357,,178
2615.65108286,1355.28608286,-0.14976307,1355.13631979,2615.50131979,327.21001649,56.44903597,,,0.63140022,-0.14976307,-1.61298477,,179
2615.64453573,1355.27953573,-0.14287724,1355.13665849,2615.50165849,327.2084358,56.44953894,,,0.63554811,-0.14287724,-1.54386812,,180
2615.63826853,1355.27326853,-0.13629893,1355.1369696,2615.5019696,327.2069227,56.45002204,,,0.63969598,-0.13629893,-1.47801358,,181
2615.63226808,1355.26726808,-0.13001255,1355.13725553,2615.50225553,327.205474,56.45048607,,,0.64384385,-0.13001255,-1.41525762,,182
2615.62652184,1355.26152184,-0.12400338,1355.13751846,2615.50251846,327.20408667,56.4509318,,,0.64799171,-0.12400338,-1.35544494,,183
2615.62101791,1355.25601791,-0.11825755,1355.13776036,2615.50276036,327.20275784,56.45135999,,,0.65213956,-0.11825755,-1.29842811,,184
2615.61574497,1355.25074497,-0.11276193,1355.13798304,2615.50298304,327.20148478,56.45177134,,,0.6562874,-0.11276193,-1.24406724,,185
2615.6106923,1355.2456923,-0.10750417,1355.13818813,2615.50318813,327.2002649,56.45216655,,,0.66043523,-0.10750417,-1.19222958,,186
2615.60584967,1355.24084967,-0.10247255,1355.13837712,2615.50337712,327.19909574,56.45254627,,,0.66458306,-0.10247255,-1.14278921,,187
2615.6012074,1355.2362074,-0.09765605,1355.13855135,2615.50355135,327.19797494,56.45291115,,,0.66873087,-0.09765605,-1.0956267,,188
2615.59675627,1355.23175627,-0.0930442,1355.13871207,2615.50371207,327.19690029,56.45326181,,,0.67287868,-0.0930442,-1.05062878,,189
2615.59248752,1355.22748752,-0.08862713,1355.13886039,2615.50386039,327.19586968,56.45359882,,,0.67702649,-0.08862713,-1.00768805,,190
2615.58839284,1355.22339284,-0.0843955,1355.13899734,2615.50399734,327.19488109,56.45392276,,,0.68117429,-0.0843955,-0.96670266,,191
